time_s,mean_thrust_N,fitted_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.34,4519.712212347477,4460.712016459851,327.22271206064966,4319.712212347477,4719.712212347477
0.342,4519.712212347477,4460.825644552883,330.1141204528623,4319.712212347477,4719.712212347477
0.34400000000000003,4519.712212347477,4460.939162231395,332.61012107899893,4319.712212347477,4719.712212347477
0.34600000000000003,4519.712212347477,4461.052569541373,334.35642902456397,4319.712212347477,4719.712212347477
0.34800000000000003,4519.712212347477,4461.165866528803,335.0665441656848,4319.712212347477,4719.712212347477
0.35000000000000003,4519.712212347477,4461.279053239671,334.57499175074315,4319.712212347477,4719.712212347477
0.352,4519.712212347477,4461.392129719963,332.9043274557889,4319.712212347477,4719.712212347477
0.354,4519.712212347477,4461.505096015665,330.30468087738933,4319.712212347477,4719.712212347477
0.356,4519.712212347477,4461.617952172763,327.23631925092053,4319.712212347477,4719.712212347477
0.358,4519.712212347477,4461.730698237242,324.3019593009172,4319.712212347477,4719.712212347477
0.36,4519.712212347477,4461.84333425509,322.10597064556754,4319.712212347477,4719.712212347477
0.362,4519.712212347477,4461.955860272291,321.13344202050195,4319.712212347477,4719.712212347477
0.364,4519.712212347477,4462.068276334831,321.64415797761336,4319.712212347477,4719.712212347477
0.366,4519.712212347477,4462.180582488698,323.60984880987104,4319.712212347477,4719.712212347477
0.368,4519.712212347477,4462.292778779875,326.7356597392698,4319.712212347477,4719.712212347477
0.37,4519.712212347477,4462.404865254351,330.52674674498735,4319.712212347477,4719.712212347477
0.372,4519.712212347477,4462.51684195811,334.3933717689754,4319.712212347477,4719.712212347477
0.374,4519.712212347477,4462.628708937138,337.7509434826947,4319.712212347477,4719.712212347477
0.376,4519.712212347477,4462.740466237421,340.09732383705045,4319.712212347477,4719.712212347477
0.378,4519.712212347477,4462.852113904946,341.07587186844796,4319.712212347477,4719.712212347477
0.38,4519.712212347477,4462.963651985699,340.5087739468847,4319.712212347477,4719.712212347477
0.382,4519.712212347477,4463.075080525664,338.42117361492274,4319.712212347477,4719.712212347477
0.384,4519.712212347477,4463.186399570829,335.0468512043842,4319.712212347477,4719.712212347477
0.386,4519.712212347477,4463.297609167179,330.8033116704455,4319.712212347477,4719.712212347477
0.388,4519.712212347477,4463.4087093606995,326.2392331394032,4319.712212347477,4719.712212347477
0.39,4519.712212347477,4463.5197001973775,321.94152319565256,4319.712212347477,4719.712212347477
0.392,4519.712212347477,4463.630581723199,318.4329282845812,4319.712212347477,4719.712212347477
0.394,4519.712212347477,4463.741353984148,316.07177197321533,4319.712212347477,4719.712212347477
0.396,4519.712212347477,4463.852017026213,314.97810896730897,4319.712212347477,4719.712212347477
0.398,4519.712212347477,4463.962570895378,315.0232520335283,4319.712212347477,4719.712212347477
0.4,4519.712212347477,4464.073015637631,315.8735472855606,4319.712212347477,4719.712212347477
0.402,4519.712212347477,4464.183351298956,317.07106279298233,4319.712212347477,4719.712212347477
0.404,4519.712212347477,4464.29357792534,318.12907259922054,4319.712212347477,4719.712212347477
0.406,4519.712212347477,4464.403695562768,318.7008967323318,4319.712212347477,4719.712212347477
0.40800000000000003,4519.712212347477,4464.513704257228,318.52997902794664,4319.712212347477,4719.712212347477
0.41000000000000003,4519.712212347477,4464.623604054704,317.5899661583871,4319.712212347477,4719.712212347477
0.41200000000000003,4519.712212347477,4464.733395001182,316.0732419074747,4319.712212347477,4719.712212347477
0.41400000000000003,4519.712212347477,4464.843077142648,314.35759625213944,4319.712212347477,4719.712212347477
0.41600000000000004,4519.712212347477,4464.95265052509,312.94909601993385,4319.712212347477,4719.712212347477
0.418,4519.712212347477,4465.062115194491,312.3774681311571,4319.712212347477,4719.712212347477
0.42,4519.712212347477,4465.171471196839,313.078566520304,4319.712212347477,4719.712212347477
0.422,4519.712212347477,4465.2807185781185,315.2703901273798,4319.712212347477,4719.712212347477
0.424,4519.712212347477,4465.389857384317,318.86379363708045,4319.712212347477,4719.712212347477
0.426,4519.712212347477,4465.498887661419,323.4570796946555,4319.712212347477,4719.712212347477
0.428,4519.712212347477,4465.607809455411,328.38234819747476,4319.712212347477,4719.712212347477
0.43,4519.712212347477,4465.716622812281,332.84974400122724,4319.712212347477,4719.712212347477
0.432,4519.712212347477,4465.825327778011,336.11413490040707,4319.712212347477,4719.712212347477
0.434,4519.712212347477,4465.93392439859,337.6260644757125,4319.712212347477,4719.712212347477
0.436,4519.712212347477,4466.042412720002,337.13519527686503,4319.712212347477,4719.712212347477
0.438,4519.712212347477,4466.150792788235,334.7165799440326,4319.712212347477,4719.712212347477
0.44,4519.712212347477,4466.259064649274,330.7245682530157,4319.712212347477,4719.712212347477
0.442,4519.712212347477,4466.367228349103,325.68914183539533,4319.712212347477,4719.712212347477
0.444,4519.712212347477,4466.475283933712,320.21206460993153,4319.712212347477,4719.712212347477
0.446,4519.712212347477,4466.583231449083,314.8578583259189,4319.712212347477,4719.712212347477
0.448,4519.712212347477,4466.691070941204,310.10305860683803,4319.712212347477,4719.712212347477
0.45,4519.712212347477,4466.798802456061,306.30383678793385,4319.712212347477,4719.712212347477
0.452,4519.712212347477,4466.90642603964,303.69358835445354,4319.712212347477,4719.712212347477
0.454,4519.712212347477,4467.013941737926,302.38816455376417,4319.712212347477,4719.712212347477
0.456,4519.712212347477,4467.121349596905,302.3651039559096,4319.712212347477,4719.712212347477
0.458,4519.712212347477,4467.228649662564,303.48909567067784,4319.712212347477,4719.712212347477
0.46,4519.712212347477,4467.335841980888,305.5092850049031,4319.712212347477,4719.712212347477
0.462,4519.712212347477,4467.442926597863,308.0848804720673,4319.712212347477,4719.712212347477
0.464,4519.712212347477,4467.549903559476,310.84368421096576,4319.712212347477,4719.712212347477
0.466,4519.712212347477,4467.656772911712,313.4282070583642,4319.712212347477,4719.712212347477
0.468,4519.712212347477,4467.763534700557,315.54944940145475,4319.712212347477,4719.712212347477
0.47000000000000003,4519.712212347477,4467.870188971998,317.0034127361823,4319.712212347477,4719.712212347477
0.47200000000000003,4519.712212347477,4467.976735772018,317.6809060906339,4319.712212347477,4719.712212347477
0.47400000000000003,4519.712212347477,4468.083175146608,317.56587204447925,4319.712212347477,4719.712212347477
0.47600000000000003,4519.712212347477,4468.189507141748,316.7170312350788,4319.712212347477,4719.712212347477
0.47800000000000004,4519.712212347477,4468.295731803429,315.2578121008867,4319.712212347477,4719.712212347477
0.48,4519.712212347477,4468.401849177634,313.35736149009557,4319.712212347477,4719.712212347477
0.482,4519.712212347477,4468.50785931035,311.2130923575343,4319.712212347477,4719.712212347477
0.484,4519.712212347477,4468.613762247563,309.0309915784987,4319.712212347477,4719.712212347477
0.486,4519.712212347477,4468.719558035258,306.9909767604861,4319.712212347477,4719.712212347477
0.488,4519.712212347477,4468.8252467194225,305.2202128011374,4319.712212347477,4719.712212347477
0.49,4519.712212347477,4468.930828346041,303.75757507441614,4319.712212347477,4719.712212347477
0.492,4519.712212347477,4469.036302961101,302.52614059660283,4319.712212347477,4719.712212347477
0.494,4519.712212347477,4469.141670610587,301.3631615433557,4319.712212347477,4719.712212347477
0.496,4519.712212347477,4469.246931340485,300.0621977567235,4319.712212347477,4719.712212347477
0.498,4519.712212347477,4469.352085196782,298.43400484904583,4319.712212347477,4719.712212347477
0.5,4519.712212347477,4469.457132225464,296.3747563851646,4319.712212347477,4719.712212347477
0.502,4519.712212347477,4469.562072472516,293.8876974441031,4319.712212347477,4719.712212347477
0.504,4519.712212347477,4469.666905983924,291.0810787031471,4319.712212347477,4719.712212347477
0.506,4519.712212347477,4469.771632805674,288.1215385846561,4319.712212347477,4719.712212347477
0.508,4519.712212347477,4469.876252983753,285.18212947532743,4319.712212347477,4719.712212347477
0.51,4519.712212347477,4469.980766564146,282.40209403511784,4319.712212347477,4719.712212347477
0.512,4519.712212347477,4470.085173592838,279.8488528296235,4319.712212347477,4719.712212347477
0.514,4519.712212347477,4470.189474115818,277.51778820236404,4319.712212347477,4719.712212347477
0.516,4519.712212347477,4470.293668179068,275.3461324695727,4319.712212347477,4719.712212347477
0.518,4519.712212347477,4470.397755828577,273.2303244828723,4319.712212347477,4719.712212347477
0.52,4519.712212347477,4470.5017371103295,271.0518672655805,4319.712212347477,4719.712212347477
0.522,4519.712212347477,4470.605612070312,268.69675432038497,4319.712212347477,4719.712212347477
0.524,4519.712212347477,4470.709380754512,266.0768437744881,4319.712212347477,4719.712212347477
0.526,4519.712212347477,4470.813043208912,263.1510889999216,4319.712212347477,4719.712212347477
0.528,4519.712212347477,4470.916599479499,259.9454359986195,4319.712212347477,4719.712212347477
0.53,4519.712212347477,4471.020049612262,256.58079753393525,4319.712212347477,4719.712212347477
0.532,4519.712212347477,4471.123393653183,253.27772950025843,4319.712212347477,4719.712212347477
0.534,4519.712212347477,4471.22663164825,250.34156198340284,4319.712212347477,4719.712212347477
0.536,4519.712212347477,4471.329763643448,248.10186957573498,4319.712212347477,4719.712212347477
0.538,4519.712212347477,4471.432789684764,246.82981920060266,4319.712212347477,4719.712212347477
0.54,4519.712212347477,4471.535709818184,246.6660671659444,4319.712212347477,4719.712212347477
0.542,4519.712212347477,4471.6385240896925,247.55560987082694,4319.712212347477,4719.712212347477
0.544,4519.712212347477,4471.741232545277,249.25344749408205,4319.712212347477,4719.712212347477
0.546,4519.712212347477,4471.843835230922,251.36817829703205,4319.712212347477,4719.712212347477
0.548,4519.712212347477,4471.946332192615,253.44132217394417,4319.712212347477,4719.712212347477
0.55,4519.712212347477,4472.048723476341,255.0356255115574,4319.712212347477,4719.712212347477
0.552,4519.712212347477,4472.151009128087,255.80192610103666,4319.712212347477,4719.712212347477
0.554,4519.712212347477,4472.253189193837,255.53472551022813,4319.712212347477,4719.712212347477
0.556,4519.712212347477,4472.355263719578,254.18303150087277,4319.712212347477,4719.712212347477
0.558,4519.712212347477,4472.457232751297,251.84677005325517,4319.712212347477,4719.712212347477
0.56,4519.712212347477,4472.559096334978,248.74613089836978,4319.712212347477,4719.712212347477
0.562,4519.712212347477,4472.660854516608,245.18611399522376,4319.712212347477,4719.712212347477
0.5640000000000001,4519.712212347477,4472.762507342173,241.52604030229583,4319.712212347477,4719.712212347477
0.5660000000000001,4519.712212347477,4472.8640548576595,238.12940713540763,4319.712212347477,4719.712212347477
0.5680000000000001,4519.712212347477,4472.965497109052,235.3308066818218,4319.712212347477,4719.712212347477
0.5700000000000001,4519.712212347477,4473.066834142338,233.39062352230357,4319.712212347477,4719.712212347477
0.5720000000000001,4519.712212347477,4473.168066003502,232.45703685935024,4319.712212347477,4719.712212347477
0.5740000000000001,4519.712212347477,4473.269192738531,232.5370495034918,4319.712212347477,4719.712212347477
0.5760000000000001,4519.712212347477,4473.370214393411,233.48430930238953,4319.712212347477,4719.712212347477
0.578,4519.712212347477,4473.4711310141265,235.02935081463335,4319.712212347477,4719.712212347477
0.58,4519.712212347477,4473.571942646665,236.8235776815215,4319.712212347477,4719.712212347477
0.582,4519.712212347477,4473.6726493370115,238.46724258582168,4319.712212347477,4719.712212347477
0.584,4519.712212347477,4473.773251131153,239.6921072562906,4319.712212347477,4719.712212347477
0.586,4519.712212347477,4473.873748075074,240.2156110558779,4319.712212347477,4719.712212347477
0.588,4519.712212347477,4473.974140214763,239.88578823267594,4319.712212347477,4719.712212347477
0.59,4519.712212347477,4474.074427596202,238.67056422490083,4319.712212347477,4719.712212347477
0.592,4519.712212347477,4474.1746102653815,236.64600663081757,4319.712212347477,4719.712212347477
0.594,4519.712212347477,4474.274688268284,233.9748879603905,4319.712212347477,4719.712212347477
0.596,4519.712212347477,4474.374661650896,230.90361175174573,4319.712212347477,4719.712212347477
0.598,4519.712212347477,4474.474530459205,227.71701750576833,4319.712212347477,4719.712212347477
0.6,4519.712212347477,4474.5742947391955,224.70416389893293,4319.712212347477,4719.712212347477
0.602,4519.712212347477,4474.673954536855,222.1177844656785,4319.712212347477,4719.712212347477
0.604,4519.712212347477,4474.7735098981675,220.12341947496594,4319.712212347477,4719.712212347477
0.606,4519.712212347477,4474.872960869119,218.76936618185124,4319.712212347477,4719.712212347477
0.608,4519.712212347477,4474.972307495698,217.97462287819587,4319.712212347477,4719.712212347477
0.61,4519.712212347477,4475.071549823888,217.55375563665612,4319.712212347477,4719.712212347477
