time_s,run_1_4-tenso raketa-filtered-regression.txt_thrust_N,run_2_4-tenso raketa-filtered-regression_05_hf1.txt_thrust_N,run_3_4-tenso raketa-filtered-regression_05_hf4.txt_thrust_N,run_4_4-tenso raketa-filtered-regression_05_hf5.txt_thrust_N,run_5_THRUST-testdata.txt_thrust_N
4.578,2820.306397794201,,,,2849.3075460348164
4.58,2821.6166840534406,,,,2849.1661233188033
4.582,2821.955968994914,,,,2848.8958065332254
4.5840000000000005,2821.300982603588,,,,2848.4599923098895
4.586,2819.713884044402,,,,2847.893991692927
4.588,2817.3358833224006,,,,2847.3053250943876
4.59,2814.398738019139,,,,2846.846686360817
4.5920000000000005,2811.160570519651,,,,2846.6693783840783
4.594,2807.9476279031646,,,,2846.873553207148
4.596,2805.147069262976,,,,2847.4736712194376
4.598,2803.197962227258,,,,2848.3919032543017
4.6000000000000005,2802.5814921399865,,,,2849.4809133879457
4.602,2803.664323111429,,,,2850.5658788811224
4.604,2806.722125008048,,,,2851.4894052639775
4.606,2811.8709772887446,,,,2852.144260497992
4.6080000000000005,2818.925530509357,,,,2852.4855038880646
4.61,2827.5704295990167,,,,2852.52203095526
4.612,2837.352393082647,,,,2852.294659467611
4.614,2847.7072517510455,,,,2851.851511597693
4.616,2858.1001202569664,,,,2851.2308235109017
4.618,2868.0026750309003,,,,2850.457170492229
4.62,2876.9493953827955,,,,2849.5510904652056
4.622,2884.4911398987338,,,,2848.5460993933507
4.624,2890.1666379412873,,,,2847.503273916432
4.626,2893.6343029283935,,,,2846.513979541196
4.628,2894.572060833046,,,,2845.6863692119546
4.63,2892.7372193263973,,,,2845.118997404607
4.632,2888.164184282532,,,,2844.8715817463176
4.634,2880.9853984110296,,,,2844.944942865518
4.636,2871.494999459127,,,,2845.278480884742
4.638,2860.24178911983,,,,2845.766511442992
4.64,2847.8302546268355,,,,2846.287711810541
4.642,2834.960463017618,,,,2846.737450801209
4.644,2822.366503531751,,,,2847.0521764053306
4.646,2810.7258513631577,,,,2847.2180286973585
4.648,2800.659898547804,,,,2847.2616138565563
4.65,2792.5900888455917,,,,2847.2280572255254
4.652,2786.848832152187,,,,2847.156701799783
4.654,2783.6905088222934,,,,2847.0645787377102
4.656,2783.170030521983,,,,2846.9422961965024
4.658,2785.3441276990925,,,,2846.7604578343544
4.66,2790.2107820828546,,,,2846.4811762502886
4.662,2797.5153462970175,,,,2846.069607082251
4.664,2806.874862179974,,,,2845.502853132735
4.666,2817.640449375383,,,,2844.7755804501317
4.668,2828.845781729654,,,,2843.902151696003
4.67,2839.38732709719,,,,2842.9148731707974
4.672,2848.0834026810076,,,,2841.858130379756
4.674,2854.0307408532763,,,,2840.7788492122645
4.676,2856.660243268116,,,,2839.714972778194
4.678,2855.861368059131,,,,2838.6855685382197
4.68,2852.1763248504835,,,,2837.6874691842495
4.682,2846.4321649844924,,,,2836.7022359137723
4.684,2839.669671685997,,,,2835.7134970309635
4.686,2832.9463829414076,,,,2834.729520354882
4.688,2827.098514613109,,,,2833.8012613955543
4.69,2822.705996524696,,,,2833.0251959827287
4.692,2819.9490746715696,,,,2832.525314778647
4.694,2818.7318921615038,,,,2832.4183114782186
4.696,2818.7353010671413,,,,2832.775201446606
4.698,2819.394363399558,,,,2833.5958852399262
4.7,2820.171525848683,,,,2834.808039406728
4.702,2820.534902167863,,,,2836.29056224723
4.704,2820.1995605641796,,,,2837.910596071515
4.706,2819.0737658396515,,,,2839.5575288431723
4.708,2817.154634293384,,,,2841.159744072121
4.71,2814.72657919379,,,,2842.67888109706
4.712,2811.9617139567863,,,,2844.0874724787136
4.714,2809.0372640987284,,,,2845.3435468322477
4.716,2806.0902696684134,,,,2846.37675919922
4.718,2803.24039089164,,,,2847.0948021204936
4.72,2800.623942127635,,,,2847.4087888705035
4.722,2798.3861223691238,,,,2847.2663345428628
4.724,2796.673345709025,,,,2846.676227041252
4.726,2795.582361963328,,,,2845.711956573256
4.728,2795.110490508827,,,,2844.4916454052054
4.73,2795.1835869119186,,,,2843.1436860593053
4.732,2795.6538229558746,,,,2841.774093384082
4.734,2796.340159949282,,,,2840.4493003126813
4.736,2797.0787481352304,,,,2839.1985651779673
4.738,2797.727173373654,,,,2838.0297618561062
4.74,2798.175860411266,,,,2836.947291482774
4.742,2798.335133435577,,,,2835.962917190269
4.744,2798.142800909537,,,,2835.0966529427783
