time_s,mean_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.516,4246.151916861999,298.9874482291492,4046.151916861999,4446.151916861999
0.518,4233.743840914726,284.4647948408351,4033.743840914726,4433.743840914726
0.52,4231.446120099375,253.15585403824656,4031.4461200993746,4431.446120099375
0.522,4228.717779993034,233.10677898893238,4028.717779993034,4428.717779993034
0.524,4243.887028793937,234.74487046901143,4043.887028793937,4443.887028793937
0.526,4241.746308898062,247.6690521704825,4041.746308898062,4441.746308898062
0.528,4220.415377163179,271.3429004004443,4020.415377163179,4420.415377163179
0.53,4220.616908989594,292.6972113074765,4020.616908989594,4420.616908989594
0.532,4221.44989453822,300.35873075301913,4021.44989453822,4421.44989453822
0.534,4227.662738032177,286.73964744732086,4027.662738032177,4427.662738032177
0.536,4246.707862932855,257.25334290501286,4046.7078629328553,4446.707862932855
0.538,4253.221346467033,233.26384063032418,4053.221346467033,4453.221346467033
0.54,4252.4836971390205,225.41760034414762,4052.4836971390205,4452.4836971390205
0.542,4233.260176177504,234.37965083635333,4033.260176177504,4433.260176177504
0.544,4208.077596116825,248.38209855597412,4008.0775961168247,4408.077596116825
0.546,4209.335906834083,263.0519177407946,4009.3359068340833,4409.335906834083
0.548,4205.86308566212,273.2841559459081,4005.8630856621203,4405.86308566212
0.55,4215.645024400096,289.141058592706,4015.645024400096,4415.645024400096
0.552,4226.909517464137,286.4413103981705,4026.909517464137,4426.909517464137
0.554,4224.4480035313145,279.60418265315167,4024.4480035313145,4424.4480035313145
0.556,4220.612512876436,267.0075656062726,4020.612512876436,4420.612512876436
0.558,4213.172316069485,262.738455122371,4013.1723160694846,4413.172316069485
0.56,4200.921219395022,258.35143757948407,4000.9212193950216,4400.921219395022
0.562,4199.433960631952,261.6188328942242,3999.433960631952,4399.433960631952
0.5640000000000001,4199.749602584103,270.04111151604025,3999.749602584103,4399.749602584103
0.5660000000000001,4202.236605579627,268.0272254894852,4002.2366055796274,4402.236605579627
0.5680000000000001,4214.417882609251,255.74563397767582,4014.417882609251,4414.417882609251
0.5700000000000001,4232.375892268658,247.3316986533014,4032.3758922686584,4432.375892268658
0.5720000000000001,4243.340234487167,244.0215564880623,4043.3402344871674,4443.340234487167
0.5740000000000001,4229.326664571691,255.7289077854226,4029.3266645716913,4429.326664571691
0.5760000000000001,4208.716191494971,266.18512832691334,4008.716191494971,4408.716191494971
0.578,4189.657112229379,268.14267123319206,3989.657112229379,4389.657112229379
0.58,4174.0055558482045,269.20431024665663,3974.0055558482045,4374.0055558482045
0.582,4175.7798612571105,274.39580039051845,3975.7798612571105,4375.7798612571105
0.584,4186.8522559410285,273.5260032823247,3986.8522559410285,4386.8522559410285
0.586,4194.149728987087,263.7941084873525,3994.1497289870867,4394.149728987087
0.588,4198.180532570063,248.879310208429,3998.1805325700634,4398.180532570063
0.59,4198.2032065285675,247.33494019433496,3998.2032065285675,4398.2032065285675
0.592,4202.6494004374135,264.25570237876707,4002.6494004374135,4402.6494004374135
0.594,4198.352128130814,283.7798429926117,3998.352128130814,4398.352128130814
0.596,4182.306713617678,297.672735154686,3982.306713617678,4382.306713617678
0.598,4183.186143833119,294.66651591625924,3983.186143833119,4383.186143833119
0.6,4177.543106146807,270.1319863297739,3977.543106146807,4377.543106146807
0.602,4164.3220658895925,242.23047343178507,3964.3220658895925,4364.3220658895925
0.604,4171.088335633212,223.11904826374405,3971.0883356332124,4371.088335633212
0.606,4173.379792650391,228.00051450851302,3973.379792650391,4373.379792650391
0.608,4174.31337135345,245.48271677856494,3974.31337135345,4374.31337135345
0.61,4171.992582029616,272.2180624752385,3971.9925820296157,4371.992582029616
0.612,4171.649268579107,300.06840159580565,3971.6492685791072,4371.649268579107
0.614,4175.099059503268,302.25752094229335,3975.099059503268,4375.099059503268
0.616,4175.027301209528,299.8493348905142,3975.0273012095276,4375.027301209528
0.618,4167.963756547964,292.0478187479011,3967.9637565479643,4367.963756547964
0.62,4171.77396185503,268.40075344867864,3971.7739618550304,4371.77396185503
0.622,4150.63405845152,245.26535418538805,3950.63405845152,4350.63405845152
0.624,4143.695316746836,235.16954796263548,3943.6953167468364,4343.695316746836
0.626,4151.175999721972,240.71018358482831,3951.1759997219724,4351.175999721972
0.628,4153.66222861457,255.325857971003,3953.6622286145703,4353.66222861457
0.63,4172.655005352465,276.4701249840287,3972.655005352465,4372.655005352465
0.632,4173.939904694829,290.9500859170219,3973.9399046948292,4373.939904694829
0.634,4172.619111387312,293.27692762116277,3972.619111387312,4372.619111387312
0.636,4165.705161988695,271.2296912211724,3965.705161988695,4365.705161988695
0.638,4148.006557721669,256.37165190671595,3948.006557721669,4348.006557721669
0.64,4145.478755823685,254.796495432453,3945.478755823685,4345.478755823685
0.642,4142.098628076858,253.9623376531026,3942.0986280768584,4342.098628076858
0.644,4137.231285940445,259.2360531886582,3937.2312859404446,4337.231285940445
0.646,4141.915310872467,258.74302355704174,3941.9153108724668,4341.915310872467
0.648,4149.004613553397,260.83582458390083,3949.0046135533967,4349.004613553397
0.65,4150.555201463382,270.8625431225929,3950.555201463382,4350.555201463382
0.652,4149.112319758046,271.3347931646385,3949.1123197580464,4349.112319758046
0.654,4155.419781328789,280.9788731129485,3955.419781328789,4355.419781328789
0.656,4153.4360019062315,271.0104951567502,3953.4360019062315,4353.4360019062315
0.658,4147.467944491976,253.4438531704826,3947.4679444919757,4347.467944491976
0.66,4137.415461090587,247.5426306857657,3937.415461090587,4337.415461090587
0.662,4134.8684727239615,247.87174598368424,3934.8684727239615,4334.8684727239615
0.664,4133.439059731532,248.45938222551302,3933.4390597315323,4333.439059731532
0.666,4130.611643372391,256.4420165902984,3930.611643372391,4330.611643372391
0.668,4136.600262791748,253.39105557521825,3936.600262791748,4336.600262791748
0.67,4136.081442569753,252.6097077649603,3936.0814425697527,4336.081442569753
0.672,4142.9486080342285,268.6955695760397,3942.9486080342285,4342.9486080342285
0.674,4139.0377256397405,273.48139838059353,3939.0377256397405,4339.0377256397405
